id,user_id,brand_id,order_id,type,title,message,read_at,channel,delivery_status,delivery_attempts,failed_reason,next_attempt_at,created_at,updated_at
cmp6s4e8b0002h2m0x3vm5vb4,cmp6s4e390000h2m0m0ka53u1,,,ACCOUNT_VERIFICATION,Verify Your Account,Welcome to Broady. Verify your account using this link: http://localhost:3000/verify-email?token=1db8b0b19ff0123d45e9898fe4424c6a83b781f0f0f78869efc56e14fb3e069a,,DASHBOARD,QUEUED,0,,,2026-05-15 10:33:19.881,2026-05-15 10:33:19.881
cmp6s6xjn0009h2m0qr453zjr,cmp6s6xfa0007h2m0m1e05bs7,,,ACCOUNT_VERIFICATION,Verify Your Account,Welcome to Broady. Verify your account using this link: http://localhost:3000/verify-email?token=8605398a83412595e9ef0a6e4185f65633d4e7961b65f0870989b75d36422121,,DASHBOARD,QUEUED,0,,,2026-05-15 10:35:18.222,2026-05-15 10:35:18.222
cmosz2yeh0003h2vw5vvqkdis,cmos92dgi0000h22gli65jmaq,,cmosz2xwz001rh2787jfwsw5o,ORDER_STATUS_UPDATED,Order Confirmed,Order cmosz2xwz001rh2787jfwsw5o has been confirmed.,2026-05-05 18:39:56.437,DASHBOARD,QUEUED,0,,,2026-05-05 18:39:23.555,2026-05-05 18:39:56.442
cmosz2yeh0002h2vwiamz057t,cmos92dgi0000h22gli65jmaq,,cmosz2xwz001rh2787jfwsw5o,ORDER_PLACED,Order Placed,Your order cmosz2xwz001rh2787jfwsw5o has been placed successfully on Broady.,2026-05-05 18:39:56.437,DASHBOARD,QUEUED,0,,,2026-05-05 18:39:23.555,2026-05-05 18:39:56.442
cmosz3bho002xh278re7tti35,cmos92dgi0000h22gli65jmaq,,cmosz3b7q002dh278nl7kmiu1,ORDER_PLACED,Order Placed,Your order cmosz3b7q002dh278nl7kmiu1 has been placed successfully on Broady.,2026-05-05 18:39:56.437,DASHBOARD,QUEUED,0,,,2026-05-05 18:39:40.524,2026-05-05 18:39:56.442
cmosz3bhp002zh278uphjrmsp,cmos92dgi0000h22gli65jmaq,,cmosz3b7q002dh278nl7kmiu1,ORDER_STATUS_UPDATED,Order Confirmed,Order cmosz3b7q002dh278nl7kmiu1 has been confirmed.,2026-05-05 18:39:56.437,DASHBOARD,QUEUED,0,,,2026-05-05 18:39:40.525,2026-05-05 18:39:56.442
cmosz3lym003zh278zoon9zco,cmos92dgi0000h22gli65jmaq,,cmosz3lqj003ih27885a1ckj2,ORDER_STATUS_UPDATED,Order Confirmed,Order cmosz3lqj003ih27885a1ckj2 has been confirmed.,2026-05-05 18:39:56.437,DASHBOARD,QUEUED,0,,,2026-05-05 18:39:54.094,2026-05-05 18:39:56.442
cmosz3lzf0045h27885vx4qzw,cmos92dgi0000h22gli65jmaq,,cmosz3lqj003ih27885a1ckj2,ORDER_PLACED,Order Placed,Your order cmosz3lqj003ih27885a1ckj2 has been placed successfully on Broady.,2026-05-05 18:39:56.437,DASHBOARD,QUEUED,0,,,2026-05-05 18:39:54.123,2026-05-05 18:39:56.442
cmosz7e8g0061h2783kktkk6u,cmosz5bg00059h2780xm2gaaa,cmoa452op0000h2gsqmku8ghv,cmosz3b7q002dh278nl7kmiu1,ORDER_STATUS_UPDATED,Order Processing,Order cmosz3b7q002dh278nl7kmiu1 is being processed.,2026-05-05 18:43:02.765,DASHBOARD,QUEUED,0,,,2026-05-05 18:42:50.704,2026-05-05 18:43:02.766
cmosz7j7u006hh278mtl1orab,cmosz5bg00059h2780xm2gaaa,cmoa452op0000h2gsqmku8ghv,cmosz3b7q002dh278nl7kmiu1,ORDER_STATUS_UPDATED,Order Shipped,Your Outfitters item has been shipped.,2026-05-05 18:43:02.765,DASHBOARD,QUEUED,0,,,2026-05-05 18:42:57.163,2026-05-05 18:43:02.766
